会员编号,x,y,预订任务限额,预订任务开始时间,信誉值
B0455,23.214644,113.262955,5,8:00:00,39.8463
B0456,23.192039,113.348428,5,8:00:00,39.8463
B0457,22.566805,113.926733,6,7:42:00,39.8463
B0458,22.557264,114.054618,4,8:00:00,39.8463
B0459,23.136778,113.393584,1,7:18:00,39.8463
B0460,23.102809,113.235305,6,8:00:00,39.8463
B0461,23.349518,113.299053,7,7:18:00,39.8463
B0462,22.716731,113.835882,4,7:30:00,39.8463
B0463,22.767485,113.900599,4,7:33:00,39.8463
B0464,23.126049,113.321041,6,8:00:00,39.8463
B0465,23.061671,113.2262,5,8:00:00,39.8463
B0466,23.138925,113.378918,5,8:00:00,39.8463
B0467,22.726808,113.904246,4,7:39:00,39.8463
B0468,22.681319,113.949623,5,8:00:00,39.8463
B0469,22.606031,114.126707,4,8:00:00,39.8463
B0470,22.760543,113.922454,4,7:36:00,39.8463
B0471,23.117189,113.362763,5,8:00:00,39.8463
B0472,21.498823,111.106315,1,6:30:00,39.8463
B0473,22.794154,113.385011,1,6:30:00,39.8463
B0474,22.622065,114.121736,4,8:00:00,39.8463
B0475,22.538354,113.977801,6,8:00:00,39.8463
B0476,23.108233,113.265912,5,8:00:00,39.8463
B0477,23.098874,113.328971,5,8:00:00,39.8463
B0478,22.752553,114.026436,4,7:30:00,39.8463
B0479,23.149311,113.28236,6,8:00:00,39.8463
B0480,22.619595,114.229209,7,7:36:00,39.8463
B0481,22.559059,114.158556,1,6:48:00,39.8463
B0482,22.694935,113.844956,4,7:27:00,39.8463
B0483,23.115144,113.25955,5,8:00:00,39.8463
B0484,22.637062,114.076561,4,8:00:00,39.8463
B0485,23.017785,114.039199,6,6:57:00,39.8463
B0486,22.869974,113.67508,3,7:00:00,39.8463
B0487,22.86985,114.131288,9,6:33:00,39.8463
B0488,22.801963,113.721845,3,6:54:00,39.8463
B0489,23.121891,113.824454,12,7:06:00,39.8463
B0490,23.065028,113.900075,12,6:48:00,39.8463
B0491,22.92074,114.012363,6,6:54:00,39.8463
B0492,22.79723,114.080272,9,6:33:00,39.8463
B0493,23.041766,113.733323,1,6:33:00,39.8463
B0494,22.983841,113.929266,9,6:51:00,39.8463
B0495,23.037111,113.886441,15,6:51:00,39.8463
B0496,23.048678,113.7786,14,7:21:00,39.8463
B0497,22.811692,113.682766,1,6:33:00,39.8463
B0498,22.883376,114.119983,9,6:36:00,39.8463
B0499,22.938454,113.807922,14,7:00:00,39.8463
B0500,22.877674,113.082808,11,6:39:00,39.8463
B0501,23.230059,113.08838,10,6:30:00,39.8463
B0502,22.91514,112.872049,19,6:33:00,39.8463
B0503,23.002962,113.13325,10,7:51:00,39.8463
B0504,23.054569,112.923115,8,6:39:00,39.8463
B0505,22.906752,113.167485,19,6:42:00,39.8463
B0506,22.946631,113.282171,5,7:18:00,39.8463
B0507,22.877588,113.082854,11,6:39:00,39.8463
B0508,22.908228,113.224487,18,6:45:00,39.0864
B0509,22.963037,113.107354,10,7:57:00,38.4497
B0510,22.743173,114.139952,4,8:00:00,38.0205
B0511,22.602344,114.059629,4,8:00:00,37.8577
B0512,22.665991,114.06549,4,8:00:00,36.4665
B0513,22.913183,113.845955,10,6:51:00,34.7793
B0514,22.801749,113.75284,3,7:21:00,34.0831
B0515,22.949361,113.383475,1,6:33:00,34.0692
B0516,22.67858,113.807474,4,7:36:00,33.7613
B0517,23.198099,113.424046,4,8:00:00,32.927
B0518,23.118314,113.409231,3,8:00:00,31.759
B0519,22.523183,114.059483,4,8:00:00,31.5716
B0520,23.107375,113.541189,2,7:06:00,31.5077
B0521,22.985054,113.730621,9,7:39:00,31.4796
B0522,23.226076,113.309537,5,8:00:00,29.8847
B0523,23.117332,113.411635,3,8:00:00,29.852
B0524,23.142655,113.377527,4,8:00:00,28.1365
B0525,22.571079,114.06153,3,8:00:00,24.6983
B0526,23.101896,113.325889,4,8:00:00,24.1771
B0527,22.590912,113.938085,4,8:00:00,23.9078
B0528,23.477471,113.153309,12,6:48:00,23.9078
B0529,23.102825,113.385889,3,8:00:00,23.9078
B0530,22.764807,113.2973,24,6:42:00,23.4954
B0531,23.062129,113.274549,4,8:00:00,23.4321
B0532,23.06127,114.017925,4,6:54:00,23.0116
B0533,23.465214,113.116516,12,6:51:00,21.9154
B0534,23.10473,113.270301,4,8:00:00,21.9154
B0535,23.125273,113.424431,3,8:00:00,21.9154
B0536,22.616991,114.050323,3,8:00:00,21.9154
B0537,23.467767,113.153265,11,6:57:00,21.9154
B0538,23.308687,113.411452,4,7:03:00,21.9154
B0539,23.007471,113.134428,8,8:00:00,21.9154
B0540,22.578875,113.865793,6,7:57:00,21.6439
B0541,22.754533,113.814188,2,7:54:00,21.1757
B0542,22.70931,113.97225,3,8:00:00,21
B0543,22.960403,113.668769,6,7:24:00,20.9193
B0544,22.660281,114.221429,6,8:00:00,20.5801
B0545,23.131021,113.010393,11,6:42:00,20.4029
B0546,22.84683,114.170494,6,6:39:00,20.2945
B0547,23.076161,113.80713,10,7:33:00,20.2553
B0548,23.038477,113.797326,9,7:45:00,20.1144
B0549,23.021185,113.736371,8,7:54:00,20.0221
B0550,22.987672,113.950727,5,7:15:00,20
B0551,23.133161,113.422087,3,8:00:00,19.9231
B0552,22.691007,114.350423,5,7:03:00,19.9231
B0553,22.683829,113.942915,3,8:00:00,19.9231
B0554,22.965728,113.473636,5,6:54:00,19.9231
B0555,23.404957,113.230019,8,7:18:00,19.9231
B0556,22.664515,113.827217,4,8:00:00,19.9231
B0557,22.699071,114.262472,7,7:33:00,19.9231
B0558,23.219338,113.229506,4,8:00:00,19.9231
B0559,22.537866,114.026688,3,8:00:00,19.9231
B0560,22.571144,113.913206,4,8:00:00,19.9231
B0561,22.532385,114.037147,2,8:00:00,19.9231
B0562,23.158235,113.60728,12,6:39:00,19.9231
B0563,22.80646,113.847029,3,7:39:00,19.9231
B0564,22.74242,113.811259,2,7:57:00,19.9231
B0565,22.609277,114.072487,3,8:00:00,19.9231
B0566,22.597208,114.138971,3,8:00:00,19.9231
B0567,23.075938,113.311626,4,8:00:00,19.9231
B0568,23.477391,113.161711,11,7:00:00,19.9231
B0569,23.194785,113.273758,4,8:00:00,19.9231
B0570,22.634382,114.061367,3,8:00:00,19.9231
B0571,23.131625,113.269593,4,8:00:00,19.9231
B0572,22.679075,113.940527,4,8:00:00,19.9231
B0573,22.540552,114.074406,3,8:00:00,19.9231
B0574,22.620184,114.15286,3,8:00:00,19.9231
B0575,22.678692,114.036315,3,8:00:00,19.9231
B0576,23.13176,113.281256,4,8:00:00,19.9231
B0577,23.105626,113.331857,4,8:00:00,19.9231
B0578,23.232252,113.2174,5,8:00:00,19.9231
B0579,23.250338,113.352783,4,8:00:00,19.9231
B0580,22.557327,114.136246,3,8:00:00,19.9231
B0581,22.684399,113.951052,3,8:00:00,19.9231
B0582,22.569903,114.144945,3,8:00:00,19.9231
B0583,22.649654,113.917479,3,8:00:00,19.9231
B0584,23.40065,113.235188,8,7:18:00,19.9231
B0585,22.756044,113.852766,3,8:00:00,19.9231
B0586,23.554402,113.585389,16,6:33:00,19.9231
B0587,22.650392,114.052425,3,8:00:00,19.9231
B0588,23.553982,113.60336,13,6:33:00,19.9231
B0589,22.727754,113.834037,3,8:00:00,19.9231
B0590,22.754612,114.235709,8,7:27:00,19.9231
B0591,22.736548,113.815489,2,8:00:00,19.9231
B0592,23.125736,113.266832,1,7:54:00,19.9231
B0593,22.603963,113.848492,5,8:00:00,19.9231
B0594,23.244184,113.232456,5,8:00:00,19.9231
B0595,23.279236,113.411627,2,7:42:00,19.9231
B0596,23.205494,113.265774,4,8:00:00,19.9231
B0597,23.12206,113.400313,3,8:00:00,19.9231
B0598,23.027846,113.314994,4,8:00:00,19.9231
B0599,23.242655,113.260177,4,8:00:00,19.9231
B0600,23.29632,113.308569,6,8:00:00,19.9231
B0601,22.567565,114.134081,3,8:00:00,19.9231
B0602,23.537496,113.594134,14,6:33:00,19.9231
B0603,22.631402,114.042737,2,8:00:00,19.9231
B0604,22.604214,114.136224,3,8:00:00,19.9231
B0605,22.607632,113.943851,4,8:00:00,19.9231
B0606,23.126541,113.634612,8,6:39:00,19.9231
B0607,22.512119,113.937591,5,8:00:00,19.9231
B0608,22.635546,114.068196,3,8:00:00,19.9231
B0609,22.69665,114.334521,6,7:06:00,19.9231
B0610,23.139733,113.367267,4,8:00:00,19.9231
B0611,22.58193,113.958801,4,8:00:00,19.9231
B0612,22.752829,114.028418,3,7:54:00,19.9231
B0613,23.15676,113.588452,4,6:45:00,19.9231
B0614,22.622402,114.081573,3,8:00:00,19.9231
B0615,23.049134,113.392069,3,8:00:00,19.9231
B0616,23.301305,113.83191,2,6:36:00,19.9231
B0617,23.140659,113.328849,4,8:00:00,19.9231
B0618,22.566256,113.912736,4,8:00:00,19.9231
B0619,22.614646,114.120194,3,8:00:00,19.9231
B0620,22.702251,114.059494,3,8:00:00,19.9231
B0621,22.614975,114.149724,3,8:00:00,19.9231
B0622,23.390261,113.171529,10,7:06:00,19.9231
B0623,22.520271,113.919056,5,8:00:00,19.9231
B0624,22.746363,113.795779,2,7:42:00,19.9231
B0625,22.568192,113.904839,4,8:00:00,19.9231
B0626,23.093532,113.299083,3,8:00:00,19.9231
B0627,23.302272,113.365212,5,7:45:00,19.9231
B0628,23.365917,113.408058,5,6:57:00,19.9231
B0629,23.189998,113.256442,4,8:00:00,19.9231
B0630,22.543198,114.087865,3,8:00:00,19.9231
B0631,23.12757,113.258991,4,8:00:00,19.9231
B0632,23.141658,113.300051,4,8:00:00,19.9231
B0633,23.253257,113.362061,4,8:00:00,19.9231
B0634,23.170584,113.247355,5,8:00:00,19.9231
B0635,22.703833,114.093831,3,8:00:00,19.9231
B0636,22.654378,114.018598,2,8:00:00,19.9231
B0637,23.181904,113.274925,4,8:00:00,19.9231
B0638,22.574853,114.10472,1,7:21:00,19.9231
B0639,22.609328,114.045171,2,8:00:00,19.9231
B0640,23.12484,113.428474,3,8:00:00,19.9231
B0641,22.682171,113.831826,3,7:54:00,19.9231
B0642,22.678585,114.149829,4,8:00:00,19.9231
B0643,23.09955,113.258924,3,8:00:00,19.9231
B0644,23.1273,113.275742,4,8:00:00,19.9231
B0645,22.695318,114.284897,8,7:30:00,19.9231
B0646,22.586047,114.118147,3,8:00:00,19.9231
B0647,22.791047,113.907786,3,7:51:00,19.9231
B0648,23.137667,113.268607,4,8:00:00,19.9231
B0649,23.101714,113.237932,4,8:00:00,19.9231
B0650,23.089531,113.30354,4,8:00:00,19.9231
B0651,22.981732,113.508461,6,6:45:00,19.9231
B0652,22.782427,113.899277,3,7:57:00,19.9231
B0653,23.306762,113.272456,7,7:54:00,19.9231
B0654,23.127909,113.429536,3,8:00:00,19.9231
B0655,22.68233,113.945186,3,8:00:00,19.9231
B0656,22.740512,113.798479,2,7:42:00,19.9231
B0657,22.612742,114.130842,3,8:00:00,19.9231
B0658,23.245183,113.26699,4,8:00:00,19.9231
B0659,23.288104,113.624005,7,6:33:00,19.9231
B0660,22.561428,113.915091,4,8:00:00,19.9231
B0661,22.648627,114.045759,2,8:00:00,19.9231
B0662,23.265167,113.30372,4,8:00:00,19.9231
B0663,22.731366,113.871288,3,8:00:00,19.9231
B0664,23.131497,113.263774,4,8:00:00,19.9231
B0665,23.291829,113.311527,4,8:00:00,19.9231
B0666,23.388053,113.209874,9,7:15:00,19.9231
B0667,22.726154,114.31471,7,7:21:00,19.9231
B0668,22.724083,113.83535,3,8:00:00,19.9231
B0669,22.641265,114.193002,5,8:00:00,19.9231
B0670,23.168946,113.387319,3,8:00:00,19.9231
B0671,22.779356,113.882517,3,8:00:00,19.9231
B0672,22.694786,114.363229,4,7:03:00,19.9231
B0673,23.237748,113.291745,4,8:00:00,19.9231
B0674,22.935688,113.329537,4,7:30:00,19.9231
B0675,23.177908,113.262563,4,8:00:00,19.9231
B0676,22.580536,113.927531,4,8:00:00,19.9231
B0677,23.013819,113.286347,4,8:00:00,19.9231
B0678,23.288,113.248435,6,8:00:00,19.9231
B0679,22.754333,113.825901,2,8:00:00,19.9231
B0680,23.193002,113.240517,5,8:00:00,19.9231
B0681,22.755268,113.901022,3,8:00:00,19.9231
B0682,22.585088,114.125167,3,8:00:00,19.9231
B0683,23.136657,113.394102,3,8:00:00,19.9231
B0684,23.128267,113.288356,1,8:00:00,19.9231
B0685,23.076328,113.187407,5,8:00:00,19.9231
B0686,23.139008,113.38467,3,8:00:00,19.9231
B0687,22.60748,113.857353,5,8:00:00,19.9231
B0688,23.048494,113.318613,3,8:00:00,19.9231
B0689,23.103755,113.45262,3,8:00:00,19.9231
B0690,22.735653,113.868736,3,8:00:00,19.9231
B0691,23.110975,113.284901,3,8:00:00,19.9231
B0692,23.127649,113.568156,2,7:00:00,19.9231
B0693,23.170743,113.495516,2,7:36:00,19.9231
B0694,22.546207,113.923499,5,8:00:00,19.9231
B0695,22.647318,113.934592,3,8:00:00,19.9231
B0696,23.361475,113.154206,10,6:54:00,19.9231
B0697,23.164795,113.215376,5,8:00:00,19.9231
B0698,23.124025,113.252196,4,8:00:00,19.9231
B0699,22.632325,114.153114,4,8:00:00,19.9231
B0700,23.154271,113.508727,2,7:24:00,19.9231
B0701,22.690644,113.929849,3,8:00:00,19.9231
B0702,22.699048,114.00616,2,8:00:00,19.9231
B0703,23.082555,113.340246,4,8:00:00,19.9231
B0704,22.738389,114.017535,3,8:00:00,19.9231
B0705,23.224812,113.278725,4,8:00:00,19.9231
B0706,23.340888,113.302796,5,7:30:00,19.9231
B0707,22.624755,114.042832,2,8:00:00,19.9231
B0708,22.70128,114.228322,1,6:45:00,19.9231
B0709,23.033092,113.343921,4,8:00:00,19.9231
B0710,22.639714,113.938853,3,8:00:00,19.9231
B0711,22.786051,113.932075,3,7:30:00,19.9231
B0712,22.558162,113.953527,4,8:00:00,19.9231
B0713,22.642813,114.199652,5,8:00:00,19.9231
B0714,23.341603,113.308408,5,7:30:00,19.9231
B0715,22.555692,114.146998,1,7:09:00,19.9231
B0716,22.693729,114.003967,2,8:00:00,19.9231
B0717,22.752358,114.047006,3,7:45:00,19.9231
B0718,23.014123,113.330912,4,8:00:00,19.9231
B0719,23.030732,113.318917,4,8:00:00,19.9231
B0720,23.151654,113.326654,4,8:00:00,19.9231
B0721,23.129766,113.418898,3,8:00:00,19.9231
B0722,23.180843,113.266661,4,8:00:00,19.9231
B0723,23.018796,113.341028,4,8:00:00,19.9231
B0724,23.130774,113.286409,4,8:00:00,19.9231
B0725,22.580654,113.920649,4,8:00:00,19.9231
B0726,22.708679,114.090291,3,8:00:00,19.9231
B0727,23.16337,113.257362,4,8:00:00,19.9231
B0728,23.12316,113.354538,1,8:00:00,19.9231
B0729,22.69621,113.826622,3,7:48:00,19.9231
B0730,22.756527,114.259536,8,7:24:00,19.9231
B0731,22.966895,113.403471,2,7:42:00,19.9231
B0732,23.126749,113.363538,4,8:00:00,19.9231
B0733,23.508004,113.686901,14,6:33:00,19.9231
B0734,22.731757,114.07134,3,8:00:00,19.9231
B0735,22.536229,114.027799,3,8:00:00,19.9231
B0736,23.531128,113.615273,14,6:33:00,19.9231
B0737,23.093789,113.271795,1,7:51:00,19.9231
B0738,22.698637,114.125143,3,8:00:00,19.9231
B0739,22.706283,114.089857,3,8:00:00,19.9231
B0740,22.774768,113.866064,3,8:00:00,19.9231
B0741,22.679928,113.837129,4,7:57:00,19.9231
B0742,22.728433,114.304924,7,7:27:00,19.9231
B0743,22.54748,113.974087,4,8:00:00,19.9231
B0744,23.062979,113.365235,3,8:00:00,19.9231
B0745,22.607519,114.064577,3,8:00:00,19.9231
B0746,22.673135,114.008872,2,8:00:00,19.9231
B0747,23.284708,113.852383,2,6:36:00,19.9231
B0748,23.020387,113.330951,4,8:00:00,19.9231
B0749,22.740158,114.043842,3,8:00:00,19.9231
B0750,22.73341,114.287038,7,7:24:00,19.9231
B0751,22.524376,113.949325,4,8:00:00,19.9231
B0752,22.534015,114.067836,3,8:00:00,19.9231
B0753,22.789535,113.933072,3,7:24:00,19.9231
B0754,22.722281,113.919227,3,8:00:00,19.9231
B0755,23.09882,113.340249,3,8:00:00,19.9231
B0756,23.128006,113.404252,3,8:00:00,19.9231
B0757,23.049124,113.399401,3,8:00:00,19.9231
B0758,22.687897,114.114036,3,8:00:00,19.9231
B0759,23.022658,113.353567,4,8:00:00,19.9231
B0760,22.645555,114.231645,6,8:00:00,19.9231
B0761,22.638425,114.021881,2,8:00:00,19.9231
B0762,22.547653,113.977755,4,8:00:00,19.9231
B0763,23.40466,113.23289,8,7:18:00,19.9231
B0764,22.53251,114.070865,3,8:00:00,19.9231
B0765,22.938598,113.349263,4,7:30:00,19.9231
B0766,22.70193,113.83187,3,8:00:00,19.9231
B0767,23.279593,113.830218,2,6:36:00,19.9231
B0768,22.676134,114.031314,2,8:00:00,19.9231
B0769,22.626184,114.157752,4,8:00:00,19.9231
B0770,23.168598,113.331828,4,8:00:00,19.9231
B0771,23.183208,113.242859,5,8:00:00,19.9231
B0772,22.676906,113.940583,3,8:00:00,19.9231
B0773,23.401581,113.212429,9,7:15:00,19.9231
B0774,23.114422,113.626196,8,6:39:00,19.9231
B0775,22.538407,113.924318,5,8:00:00,19.9231
B0776,22.710917,113.820502,2,7:57:00,19.9231
B0777,22.618443,114.168494,3,8:00:00,19.9231
B0778,23.220429,113.382545,3,8:00:00,19.9231
B0779,22.729748,114.269511,7,7:27:00,19.9231
B0780,22.978106,113.433893,4,7:18:00,19.9231
B0781,23.084767,113.238996,4,8:00:00,19.9231
B0782,23.203614,113.260304,4,8:00:00,19.9231
B0783,23.121292,113.401779,3,8:00:00,19.9231
B0784,22.551115,114.019498,3,8:00:00,19.9231
B0785,22.712053,114.319532,7,7:24:00,19.9231
B0786,22.552028,114.134689,3,8:00:00,19.9231
B0787,23.082187,113.23245,1,7:15:00,19.9231
B0788,22.762867,113.805277,2,7:51:00,19.9231
B0789,23.044102,113.341251,3,8:00:00,19.9231
B0790,22.625556,114.118522,3,8:00:00,19.9231
B0791,23.639637,113.685956,25,6:33:00,19.9231
B0792,22.709856,114.279051,7,7:30:00,19.9231
B0793,23.108546,113.283064,1,8:00:00,19.9231
B0794,22.745954,114.400805,6,6:42:00,19.9231
B0795,22.516794,113.928555,5,8:00:00,19.9231
B0796,23.148217,113.293311,1,8:00:00,19.9231
B0797,23.070767,113.315198,4,8:00:00,19.9231
B0798,22.55693,114.13561,1,7:12:00,19.9231
B0799,22.778588,113.822878,2,7:54:00,19.9231
B0800,22.622372,114.032724,2,8:00:00,19.9231
B0801,22.549686,114.096624,3,8:00:00,19.9231
B0802,23.284194,113.251466,4,8:00:00,19.9231
B0803,22.66355,114.113317,3,8:00:00,19.9231
B0804,23.131877,113.467281,2,8:00:00,19.9231
B0805,22.679938,113.944084,3,8:00:00,19.9231
B0806,22.779912,113.90617,3,8:00:00,19.9231
B0807,22.759359,113.923425,3,8:00:00,19.9231
B0808,23.373447,113.305572,6,7:24:00,19.9231
B0809,22.656834,114.038863,2,8:00:00,19.9231
B0810,23.172054,113.38756,3,8:00:00,19.9231
B0811,23.216805,113.382687,3,8:00:00,19.9231
B0812,22.997366,113.313271,4,8:00:00,19.9231
B0813,23.164808,113.215426,5,8:00:00,19.9231
B0814,22.958694,113.378083,3,7:42:00,19.9231
B0815,22.64647,114.009748,1,7:06:00,19.9231
B0816,23.168364,113.39024,3,8:00:00,19.9231
B0817,23.223223,113.295469,4,8:00:00,19.9231
B0818,22.525774,114.055684,3,8:00:00,19.9231
B0819,22.66124,114.057298,3,8:00:00,19.9231
B0820,23.197384,113.396439,3,8:00:00,19.9231
B0821,23.12836,113.615803,7,6:39:00,19.9231
B0822,23.12486,113.253212,4,8:00:00,19.9231
B0823,23.103519,113.375663,3,8:00:00,19.9231
B0824,22.926225,113.348035,5,7:24:00,19.9231
B0825,22.742155,113.813455,2,8:00:00,19.9231
B0826,22.566204,114.178992,3,8:00:00,19.9231
B0827,23.16291,113.227189,5,8:00:00,19.9231
B0828,22.721231,113.849567,3,8:00:00,19.9231
B0829,23.156647,113.267766,4,8:00:00,19.9231
B0830,23.113143,113.555107,1,7:12:00,19.9231
B0831,22.57103,114.063042,3,8:00:00,19.9231
B0832,22.735161,114.301889,7,7:27:00,19.9231
B0833,22.555127,113.908594,4,8:00:00,19.9231
B0834,23.184956,113.460672,3,8:00:00,19.9231
B0835,23.295999,113.845671,2,6:36:00,19.9231
B0836,23.270543,113.303712,4,8:00:00,19.9231
B0837,22.538329,113.924539,5,8:00:00,19.9231
B0838,22.642307,114.029399,2,8:00:00,19.9231
B0839,23.01609,113.393033,3,8:00:00,19.9231
B0840,23.171037,113.385506,3,8:00:00,19.9231
B0841,22.800386,113.539775,14,6:33:00,19.9231
B0842,22.700297,113.801039,2,7:33:00,19.9231
B0843,23.261005,113.256467,5,8:00:00,19.9231
B0844,23.091569,113.270582,4,8:00:00,19.9231
B0845,22.663852,114.130825,3,8:00:00,19.9231
B0846,22.77973,113.915323,3,7:54:00,19.9231
B0847,22.756618,113.846842,3,8:00:00,19.9231
B0848,22.64224,113.869264,3,8:00:00,19.9231
B0849,23.084662,113.247408,4,8:00:00,19.9231
B0850,22.584579,114.145883,3,8:00:00,19.9231
B0851,22.787472,113.890185,2,7:57:00,19.9231
B0852,22.586445,113.960953,4,8:00:00,19.9231
B0853,22.678681,113.944954,3,8:00:00,19.9231
B0854,23.248745,113.361607,4,8:00:00,19.9231
B0855,22.6972,113.799259,2,7:24:00,19.9231
B0856,23.09451,113.537448,2,7:15:00,19.9231
B0857,23.130577,113.386125,3,8:00:00,19.9231
B0858,22.954478,113.370849,3,7:39:00,19.9231
B0859,22.676292,113.828809,4,8:00:00,19.9231
B0860,22.784529,113.834508,2,7:54:00,19.9231
B0861,22.655615,114.222082,6,8:00:00,19.9231
B0862,22.54097,114.08679,3,8:00:00,19.9231
B0863,22.938138,113.362741,3,7:30:00,19.9231
B0864,23.173079,113.245933,5,8:00:00,19.9231
B0865,22.586528,113.948302,4,8:00:00,19.9231
B0866,22.762379,113.817014,2,7:57:00,19.9231
B0867,22.810214,113.868431,2,7:33:00,19.9231
B0868,22.597324,113.995329,3,8:00:00,19.9231
B0869,23.168041,113.390831,3,8:00:00,19.9231
B0870,23.190597,113.250874,4,8:00:00,19.9231
B0871,23.287881,113.835972,2,6:36:00,19.9231
B0872,22.677101,114.230887,6,7:57:00,19.9231
B0873,23.108864,113.456471,3,8:00:00,19.9231
B0874,23.386228,113.233157,8,7:21:00,19.9231
B0875,23.042904,113.339694,4,8:00:00,19.9231
B0876,23.442247,113.327238,4,6:57:00,19.9231
B0877,22.619962,114.043372,2,8:00:00,19.9231
B0878,22.642208,113.86914,3,8:00:00,19.9231
B0879,23.191428,113.253969,4,8:00:00,19.9231
B0880,22.68864,114.003932,2,8:00:00,19.9231
B0881,22.551636,114.125041,1,7:12:00,19.9231
B0882,23.124957,113.285162,1,8:00:00,19.9231
B0883,22.734044,113.812878,2,7:57:00,19.9231
B0884,22.736067,113.911396,2,8:00:00,19.9231
B0885,22.759419,113.907008,3,8:00:00,19.9231
B0886,23.241216,113.281205,4,8:00:00,19.9231
B0887,22.690289,113.944985,3,8:00:00,19.9231
B0888,23.107343,113.284026,1,8:00:00,19.9231
B0889,23.470746,113.186345,10,7:09:00,19.9231
B0890,23.238645,113.307791,4,8:00:00,19.9231
B0891,23.124216,113.258174,4,8:00:00,19.9231
B0892,23.229363,113.291914,4,8:00:00,19.9231
B0893,22.548557,113.940969,5,8:00:00,19.9231
B0894,23.162649,113.440314,2,8:00:00,19.9231
B0895,23.204412,113.372148,3,8:00:00,19.9231
B0896,23.110531,113.300917,1,8:00:00,19.9231
B0897,22.553436,114.005421,1,7:09:00,19.9231
B0898,23.124737,113.411019,3,8:00:00,19.9231
B0899,22.513896,113.934727,5,8:00:00,19.9231
B0900,23.11221,113.271012,4,8:00:00,19.9231
B0901,22.567904,114.179201,3,8:00:00,19.9231
B0902,23.14151,113.550662,2,7:06:00,19.9231
B0903,22.579349,113.930947,4,8:00:00,19.9231
B0904,22.946099,113.402232,3,7:30:00,19.9231
B0905,23.110309,113.422985,3,8:00:00,19.9231
B0906,23.414427,113.717294,7,6:30:00,19.9231
B0907,22.607706,114.042056,2,8:00:00,19.9231
B0908,22.744411,114.027775,3,8:00:00,19.9231
B0909,22.658557,114.013122,2,8:00:00,19.9231
B0910,23.176911,113.244812,1,7:48:00,19.9231
B0911,23.140153,113.23236,5,8:00:00,19.9231
B0912,22.953789,113.35024,3,7:36:00,19.9231
B0913,23.087559,113.330808,4,8:00:00,19.9231
B0914,23.150449,113.234368,5,8:00:00,19.9231
B0915,23.075933,113.279275,4,8:00:00,19.9231
B0916,23.141711,113.300112,4,8:00:00,19.9231
B0917,22.743096,113.853538,3,8:00:00,19.9231
B0918,23.19419,113.341465,4,8:00:00,19.9231
B0919,23.292706,113.302792,6,8:00:00,19.9231
